QID;Type;QID Text;Randomized;Warning;Filtered;Needs adaptation;VID;Type;VID Text;EU;B;C;ES;IT;L;N;P;SL;SW;Responses;Responses EU;Responses B;Responses C;Responses ES;Responses IT;Responses L;Responses N;Responses P;Responses SL;Responses SW
QID31;Core;During the last 12 months, how often has your group actively sought access to the following EU-level institutions and agencies in order to influence public policies?;1;1;0;y;q31_05;Core;The leadership of EP party groups and/or European party federations;Included;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID31;Core;During the last 12 months, how often has your group actively sought access to the following EU-level institutions and agencies in order to influence public policies?;1;1;0;y;q31_06;Core;Other members of the European Parliament;Included;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID31;Core;During the last 12 months, how often has your group actively sought access to the following EU-level institutions and agencies in order to influence public policies?;1;1;0;y;q31_07;Core;European regulatory agencies;Included;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID31;Core;During the last 12 months, how often has your group actively sought access to the following EU-level institutions and agencies in order to influence public policies?;1;1;0;y;q31_08;Core;EU-level interest groups and civil society organizations;;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID33;Core;During the last 12 months, how often has your organization actively sought access to the following national level institutions and agencies in order to influence public policies;1;1;1;y;q33_01;Core;Ministers (including their assistants/cabinets /political appointees);;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID33;Core;During the last 12 months, how often has your organization actively sought access to the following national level institutions and agencies in order to influence public policies;1;1;1;y;q33_02;Core;Elected members from the majority or governing parties of parliament;;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID33;Core;During the last 12 months, how often has your organization actively sought access to the following national level institutions and agencies in order to influence public policies;1;1;1;y;q33_03;Core;Elected members from minority or opposition parties of parliaments;;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID33;Core;During the last 12 months, how often has your organization actively sought access to the following national level institutions and agencies in order to influence public policies;1;1;1;y;q33_04;Core;National civil servants working in the Prime Minister’s Office;;Included;;;Included;Included;;Included;Included;Included;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID33;Core;During the last 12 months, how often has your organization actively sought access to the following national level institutions and agencies in order to influence public policies;1;1;1;y;q33_05;Core;National civil servants working in departmental ministries such as agriculture, environment, transport, health, etc.;;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID33;Core;During the last 12 months, how often has your organization actively sought access to the following national level institutions and agencies in order to influence public policies;1;1;1;y;q33_06;Core;National civil servants working for the coordination of EU affairs;;Included;;;Included;Included;;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID33;Core;During the last 12 months, how often has your organization actively sought access to the following national level institutions and agencies in order to influence public policies;1;1;1;y;q33_07;Core;Courts;;;;;Included;Included;;Included;Included;Included;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_01;Core;Organizing press conferences or distribute press releases;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_02;Core;Publising research reports and brochures;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_03;Core;Active involvement in media debates such as giving interviews, editorials, opinion letters;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_04;Core;Placing advertisements in newspapers and magazines;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_05;Core;Contacting journalists to increase media attention;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_06;Core;Encouraging members and supporters to lobby policymakers, participate in a letter-writing campaign or to sign petitions directed at public officials;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_07;Core;Staging protests involving members and supporters (strikes, consumer boycotts, public demonstrations);Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_08;Core;Publishing statements and position papers on your own website;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_09;Core;Hiring commercial consultants (agents who are paid to try to influence policymakers on behalf of your organization);Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_10;Core;Organizing a conference of experts and other stakeholders;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID34;Core;During the last 12 months, how often has your organization engaged in the following activities to try to affect or influence public policies;1;1;1;y;q34_11;Core;Providing support to parliamentarians in their political activities (electoral campaigns);Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID35;Core;During the last 12 months, how often has your organization been involved in any of the following activities;1;1;0;n;q35_01;Core;Responding to open consultations organized by national governments;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID35;Core;During the last 12 months, how often has your organization been involved in any of the following activities;1;1;0;n;q35_02;Core;Establishing coalitions with like-minded organizations;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID35;Core;During the last 12 months, how often has your organization been involved in any of the following activities;1;1;0;n;q35_03;Core;Serving on advisory commissions or boards at the national level;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID35;Core;During the last 12 months, how often has your organization been involved in any of the following activities;1;1;0;n;q35_04;Core;Presenting research or technical information to policymakers;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID35;Core;During the last 12 months, how often has your organization been involved in any of the following activities;1;1;0;n;q35_05;Core;Networking with groups that have conflicting interests to your organization;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: We did not do this; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID36;Core;During the past three years, did your organization initiate or in other ways contribute to legal proceedings, in order to claim rights and/or promote your organization’s goals?;0;0;0;y;q36;Core;During the past three years, did your organization initiate or in other ways contribute to legal proceedings, in order to claim rights and/or promote your organization’s goals?;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Yes; 2: No; 3: Do not know";"1: Yes; 2: No";;;;"0: No; 1: Yes";;;;;
QID37;Core;Did your organization file these proceedings on its own or as part of a group of applicants?;0;0;1;y;q37;Core;Did your organization file these proceedings on its own or as part of a group of applicants?;Included;Included;;;Included;Included;Included;Included;Included;;"1: On its own; 2: As part of a group of applicants";;;;;;;;;;
QID38;Core;Political institutions and actors seek different types of information from organizations like yours. Thinking about the information your organization supplies to these institutions, please rate how important the following types of information are for policymakers.;1;0;0;y;q38_01;Core;Technical or scientific information;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very important; 2: Somewhat important; 3: Not very important; 4: Not at all important; 5: Not applicable";;;;;;;;;;
QID38;Core;Political institutions and actors seek different types of information from organizations like yours. Thinking about the information your organization supplies to these institutions, please rate how important the following types of information are for policymakers.;1;0;0;y;q38_02;Core;Legal information;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very important; 2: Somewhat important; 3: Not very important; 4: Not at all important; 5: Not applicable";;;;;;;;;;
QID38;Core;Political institutions and actors seek different types of information from organizations like yours. Thinking about the information your organization supplies to these institutions, please rate how important the following types of information are for policymakers.;1;0;0;y;q38_03;Core;Economic information;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very important; 2: Somewhat important; 3: Not very important; 4: Not at all important; 5: Not applicable";;;;;;;;;;
QID38;Core;Political institutions and actors seek different types of information from organizations like yours. Thinking about the information your organization supplies to these institutions, please rate how important the following types of information are for policymakers.;1;0;0;y;q38_04;Core;An assessment of the societal impact;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very important; 2: Somewhat important; 3: Not very important; 4: Not at all important; 5: Not applicable";;;;;;;;;;
QID38;Core;Political institutions and actors seek different types of information from organizations like yours. Thinking about the information your organization supplies to these institutions, please rate how important the following types of information are for policymakers.;1;0;0;y;q38_05;Core;An assessment of the political impact;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very important; 2: Somewhat important; 3: Not very important; 4: Not at all important; 5: Not applicable";;;;;;;;;;
QID39;Core;In influencing policy, how do you divide your time between direct strategies, such as contacts with politicians and civil servants AND in-direct strategies, such as media coordinating, letter writing, e-mailing or social media campaigns, rallies and demonstrations? Please note that the total should add up to 100%.;0;0;0;y;q39_01;Core;Insider strategies (Approximately what percentage of your organization?s time is devoted to insider strategies that involve activities such as direct contact with the Commission, member state representatives or policy officials in the European Parliament;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID39;Core;In influencing policy, how do you divide your time between direct strategies, such as contacts with politicians and civil servants AND in-direct strategies, such as media coordinating, letter writing, e-mailing or social media campaigns, rallies and demonstrations? Please note that the total should add up to 100%.;0;0;0;y;q39_02;Core;Outsider strategies (Approximately what percentage of your organization?s time is devoted to insider strategies that involve activities such as direct contact with the Commission, member state representatives or policy officials in the European Parliamen;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID40;Core;Interactions between civil society actors and policymakers can be initiated by either side. On average, how often does your organization initiate contact with policymakers and how often do policymakers initiate contact with your organization? Please tick one box in every row.;0;0;0;y;q40_01;Core;Your organization contacts policymakers;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Never; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID40;Core;Interactions between civil society actors and policymakers can be initiated by either side. On average, how often does your organization initiate contact with policymakers and how often do policymakers initiate contact with your organization? Please tick one box in every row.;0;0;0;y;q40_02;Core;Policymakers contact your organization;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Never; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID41;Core;Policies originating from the European Union have a different level of importance for different organizations. How important are these policies for your organization? EU policies are...;0;0;0;n;q41;Core;How important are these policies for your organization? EU policies are...;Included;Included;;;Included;Included;Included;Included;Included;;"1: The most important focus; 2: An important focus; 3: A less important focus, other areas take more of our time; 4: Of no importance whatsoever";;;;;;;;;;
QID42;Core;Organizations like yours have to spend resources on many things. Can you tell us what percentage of your total resources is spent focusing on EU policies?;0;0;0;n;q42;Core;Can you tell us what percentage of your total resources is spent focusing on EU policies?;Included;Included;;;Included;Included;Included;Included;Included;;"1: No resources; 2: Less than 10%; 3: Between 10 and 25%; 4: Between 25 and 50%; 5: Between 50 and 75%; 6: More than 75%; 7: Don't know";"1: Less than 25%; 2: Between 25 and 50%; 3: Between 50 and 75%; 4: More than 75%; 5: Don't know";;;;"1: Less than 10%; 2: Between 10 and 25%; 3: Between 25 and 50%; 4: Between 50 and 75%; 5: More than 75%";;;;;
QID43;Core;In general, how would you characterize the relationship between your organization and European and national authorities?;0;0;0;n;q43_01;Core;European authorities;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very co-operative; 2: Moderately co-operative; 3: Moderately conflictual; 4: Very conflictual; 5: Not applicable";;;;;;;;;;
QID43;Core;In general, how would you characterize the relationship between your organization and European and national authorities?;0;0;0;n;q43_02;Core;National authorities;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Very co-operative; 2: Moderately co-operative; 3: Moderately conflictual; 4: Very conflictual; 5: Not applicable";;;;;;;;;;
QID44;Core;How would you rate your organization’s influence on public policy compared to that of your allies and opponents?;0;0;0;n;q44_01;Core;Allies;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: More influence; 2: Roughly the same influence; 3: Less influence; 4: We have no allies/opponents; 5: Don't know";;;;;"1: More influence; 2: Roughly the same influence; 3: Less influence; 4: We have no allies/opponents";;;;;
QID44;Core;How would you rate your organization’s influence on public policy compared to that of your allies and opponents?;0;0;0;n;q44_02;Core;Opponents;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: More influence; 2: Roughly the same influence; 3: Less influence; 4: We have no allies/opponents; 5: Don't know";;;;;"1: More influence; 2: Roughly the same influence; 3: Less influence; 4: We have no allies/opponents";;;;;
QID45;Optional;What is your position/job title in your organization;1;0;0;n;q45;Core;What is your position/job title in your organization?;Included;Included;;;;Included;Included;Included;Included;;"1: Secretary General; 10: Legal advisor; 11: Administrative officer; 12: Assistant; 2: Director; 3: President; 4: Chairman; 5: Board member; 6: Head of office; 7: Project manager/coordinator; 8: Communication manager; 9: Policy officer/advisor";String;;;;;;;;;
QID46;Optional;How many years have you worked in your organization;0;0;0;n;q46;Core;How many years have you worked in your organization?;Included;Included;;;;Included;Included;Included;Included;;Numeric;;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_01;Core;Campaigning;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_02;Core;Advocacy/lobbying;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_03;Core;General administration;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_04;Core;Strategic Management;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_05;Core;Organizational Leadership;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_06;Core;Membership services;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_07;Core;Recruitment of members/supporters;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_08;Core;Marketing;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_09;Core;Research;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID47;Optional;As part of your job, which areas are you regularly involved in;0;0;0;n;q47_10;Core;If you indicated more than one, which one is closest to your function?;;Included;;;;Included;;Included;Included;;Numeric;;;;;;"1: Campaigning; 2: Advocacy/lobbying; 3: General administration; 4: Strategic Management; 5: Organizational Leadership; 6: Membership services; 7: Recruitment of members/supporters; 8: Marketing; 9: Research";;;"1: Campaigning; 2: Advocacy/lobbying; 3: General administration; 4: Strategic Management; 5: Organizational Leadership; 6: Membership services; 7: Recruitment of members/supporters; 8: Marketing; 9: Research";
QID48;Core;What is your career background?;0;0;0;n;q48_01;Core;This is my first job/position;Included;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID48;Core;What is your career background?;0;0;0;n;q48_02;Core;Worked for a voluntary organization/charity;Included;Included;;;;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID48;Core;What is your career background?;0;0;0;n;q48_03;Core;Worked for a business organization;Included;Included;;;;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID48;Core;What is your career background?;0;0;0;n;q48_04;Core;Worked for a company or firm;;Included;;;;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID48;Core;What is your career background?;0;0;0;n;q48_05;Core;Worked for a government agency;Included;Included;;;;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID48;Core;What is your career background?;0;0;0;n;q48_06;Core;Worked for a political party;Included;Included;;;;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID48;Core;What is your career background?;0;0;0;n;q48_07;Core;Worked for a research institute, think thank or higher education institution;;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID48;Core;What is your career background?;0;0;0;n;q48_08;Core;Worked for an international and or European institution;;Included;;;;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID48;Core;What is your career background?;0;0;0;n;q48_09;Core;Worked abroad;;;;;;Included;;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID48;Core;What is your career background?;0;0;0;n;q48_10;Core;Don’t know;;;;;;;;;;;"0: No; 1: Yes";;;;;;;;;;
QID49;Optional;In which year were you born;0;0;0;n;q49;Core;In which year were you born?;Included;Included;;;;Included;Included;Included;Included;;Numeric;;;;;;;;;;
QID50;Optional;Are you female or male;0;0;0;n;q50;Core;Are you female or male?;Included;Included;;;;Included;Included;Included;Included;;"1: Female; 2: Male";;;;;;;;;;
QID51;Core;What is your highest level of education?;0;0;0;n;q51;Core;What is your highest level of education?;Included;Included;;;;Included;Included;Included;Included;Included;"1: Technical vocational training; 2: Secondary school (typically at 12-18 years of age); 3: Higher education: Bachelor (BA, BSc); 4: Higher education: Master (MA, MPhil, MSc); 5: Higher education: PhD, Doctor; 6: Other";;;;;;"1: Technical vocational training; 2: Secondary school (typically at 12-18 years of age); 3: Higher education: Bachelor (BA, BSc); 4: Higher education: Master (MA, MPhil, MSc); 5: Higher education: PhD, Doctor";;"1: Zawodowe; 2: ?rednie; 3: Licencjat; 4: Licencjat; 5: Doktor";"1: (Tehni?no) poklicno izobraževanje ali manj; 2: Srednja šola; 3: Višja strokovna izobrazba, višješolska izobrazba (predhodna višja šola, 2 leti + diploma); 4: Visokošolska strokovna izobrazba (nekdanji VS - 3 leta, 1. bolonjska stopnja); 5: Visokošolska univerzitetna izobrazba (4 - 6 let + diploma; tudi bolnjski magisterij); 6: Znanstveni magisterij, specializacija; 7: Doktorat";"1: Primary/lower secondary school; 2: Upper secondary school; 3: Higher education: Bachelor or master; 4: Higher education: PhD, Doctor"
QID52;Core;In what field did you obtain your highest degree;0;0;1;n;q52;Core;In what field did you obtain your highest degree?;Included;Included;;;;Included;Included;Included;Included;Included;"1: Law; 10: Other; 2: Social Sciences; 3: Arts and Humanities; 4: Business, Management, Finance of Economics; 5: Engineering, Computer Science or Mathematics; 6: Biology, Life Sciences or Environmental Sciences; 7: Medicine, Pharmacology or Veterinary Sciences; 8: Chemistry and Material Sciences; 9: Physics, Astronomy or Planetary Science";;;;;;;"1: Law; 2: Social Sciences; 3: Arts and Humanities; 4: Business, Management, Finance or Economics; 5: Engineering, Computer Science or Mathematics; 6: Biology, Life Sciences or Environmental Sciences; 7: Medicine, Pharmacology or Veterinary Sciences; 8: Chemistry and Physics; 10: Other";"1: Prawo; 2: Nauki spo?eczne; 3: Nauki humanistyczne; 4: Biznes, zarz?dzanie, finanse lub ekonomia; 5: In?ynieria, informatyka lub matematyka; 6: In?ynieria, informatyka lub matematyka; 7: Medycyna, farmacja lub weterynaria; 8: Chemia i materia?oznawstwo; 9: Fizyka, astronomia lub planetologia; 10: Other";;
QID53;Core;Interest organizations and civil society associations have different views on the role of government in economic matters. Some want government to play an active role in the economy, e.g. through taxation, regulation, government spending or a strong welfare state. Others prefer a reduced economic role for government, e.g. through privatization, lower taxes, less regulation, less government spending, or a leaner welfare state. On a scale of 0 to 10, where ‘0’ is “of no importance” and ‘10’ is “of great importance”, how important would you say the role of government in the economy is to your organization in its lobbying and advocacy activities;0;0;0;n;q53;Core;On a scale of 0 to 10, where ‘0’ is “of no importance” and ‘10’ is “of great importance”, how important would you say the role of government in the economy is to your organization in its lobbying and advocacy activities?;Included;Included;;;;Included;Included;Included;Included;Included;"0: 0; 1: 1; 10: 10; 2: 2; 3: 3; 4: 4; 5: 5; 6: 6; 7: 7; 8: 8; 9: 9";;;;;;;;;;
QID54;Core;Next, we would like you to think about the goals of your organization in relation to the role of government in economic matters. On a scale from 0 to 10, where ‘0’ means that government should play a much reduced role in the economy and ‘10’ means that government should play a very active role in the economy, where would you position your organization on this scale?;0;0;1;n;q54;Core;On a scale from 0 to 10, where ‘0’ means that government should play a much reduced role in the economy and ‘10’ means that government should play a very active role in the economy, where would you position your organization on this scale?;Included;Included;;;;Included;Included;Included;Included;Included;"0: 0; 1: 1; 10: 10; 2: 2; 3: 3; 4: 4; 5: 5; 6: 6; 7: 7; 8: 8; 9: 9";;;;;;;;;;
QID55;Core;"Interest organizations and civil society associations have different views on personal freedoms and rights. Some support greater personal freedom, e.g., access to abortion, euthanasia, same-sex marriage, or greater democratic participation (libertarian views). Others reject these ideas; they value order, tradition, and stability, and believe that the government should be a firm moral authority on social and cultural issues (traditional views). On a scale of 0 to 10, where ‘0’ is “of no importance” and ‘10’ is “of great importance”, how important would you say are social, moral and cultural issues of this kind to your organization in its lobbying and advocacy activities?";0;0;0;n;q55;Core;On a scale of 0 to 10, where ‘0’ is “of no importance” and ‘10’ is “of great importance”, how important would you say are social, moral and cultural issues of this kind to your organization in its lobbying and advocacy activities?;Included;Included;;;;Included;Included;Included;Included;Included;"0: 0; 1: 1; 10: 10; 2: 2; 3: 3; 4: 4; 5: 5; 6: 6; 7: 7; 8: 8; 9: 9";;;;;;;;;;
QID56;Core;Next, we would like you to think about the goals of your organization in relation to social, moral and cultural issues of this kind. On a scale from 0 to 10, where ‘0’ means “libertarian” and ‘10’ means “traditional”, where would you position your organization on this scale?;0;0;1;n;q56;Core;On a scale from 0 to 10, where ‘0’ means “libertarian” and ‘10’ means “traditional”, where would you position your organization on this scale?;Included;Included;;;;Included;Included;Included;Included;Included;"0: 0; 1: 1; 10: 10; 2: 2; 3: 3; 4: 4; 5: 5; 6: 6; 7: 7; 8: 8; 9: 9";;;;;;;;;;
QID57;Core;The decision making and actions of these organization could reach from fully dependent to completely independent of your organization. How would you describe the relationship with these organizations?;0;0;1;n;q57;Core;How would you describe the relationship with these organizations?;;Included;;;Included;Included;Included;Included;Included;;"1: Dependent; 2: Somewhat dependent; 3: Independent";;;;;;;;;;
QID58;Core;One way of achieving your goals is by becoming a member of a European or international interest organizations or network. Are you member of one or more European / international organizations or networks?;0;0;0;n;q58;Core;Are you member of one or more European / international organizations or networks?;;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID59;Core;Please indicate below the number of European / international organizations or networks of which your organizations is member.;0;0;1;n;q59;Core;Please indicate below the number of European / international organizations or networks of which your organizations is member.;;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID60;Core;Please name up to three European / international organizations or networks of which your organization is member and which are most important for you.;0;0;1;n;q60_01;Core;Organization 1;;Included;;;Included;Included;Included;Included;Included;Included;String;;;;;;;;;;
QID60;Core;Please name up to three European / international organizations or networks of which your organization is member and which are most important for you.;0;0;1;n;q60_02;Core;Organization 2;;Included;;;Included;Included;Included;Included;Included;Included;String;;;;;;;;;;
QID60;Core;Please name up to three European / international organizations or networks of which your organization is member and which are most important for you.;0;0;1;n;q60_03;Core;Organization 3;;Included;;;Included;Included;Included;Included;Included;Included;String;;;;;;;;;;
QID61;Core;Just as your organization, these European / international organizations or networks need support and resources. How do you support these organizations? Please tick all boxes that apply.;0;0;1;n;q61_11;Core;You pay a membership fee (for organization 1);;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID61;Core;Just as your organization, these European / international organizations or networks need support and resources. How do you support these organizations? Please tick all boxes that apply.;0;0;1;n;q61_12;Core;You provide policy information and expertise (for organization 1);;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID61;Core;Just as your organization, these European / international organizations or networks need support and resources. How do you support these organizations? Please tick all boxes that apply.;0;0;1;n;q61_13;Core;You help them to access policy makers at the national level (for organization 1);;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID61;Core;Just as your organization, these European / international organizations or networks need support and resources. How do you support these organizations? Please tick all boxes that apply.;0;0;1;n;q61_21;Core;You pay a membership fee (for organization 2);;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID61;Core;Just as your organization, these European / international organizations or networks need support and resources. How do you support these organizations? Please tick all boxes that apply.;0;0;1;n;q61_22;Core;You provide policy information and expertise (for organization 2);;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID61;Core;Just as your organization, these European / international organizations or networks need support and resources. How do you support these organizations? Please tick all boxes that apply.;0;0;1;n;q61_23;Core;You help them to access policy makers at the national level (for organization 2);;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
